Time,OD
0.0,0.342999995
640.8,0.368499994
1281.6,0.388799995
1922.4,0.417499989
2563.2,0.451799989
3203.9,0.490500003
3844.7,0.531300008
4485.5,0.562600017
5126.3,0.576099992
5767.1,0.586199999
6407.9,0.594500005
7048.7,0.603100002
7689.5,0.611599982
8330.2,0.617299974
8971.0,0.621399999
9611.8,0.625500023
10252.6,0.628899992
10893.4,0.632300019
11534.2,0.63499999
12175.0,0.637700021
12815.8,0.640399992
13456.6,0.643400013
14097.4,0.645900011
14738.2,0.648800015
15379.0,0.652100027
16019.7,0.654699981
16660.5,0.657100022
17301.3,0.66049999
17942.1,0.662599981
18582.9,0.665099978
19223.7,0.667400002
19864.5,0.6699
20505.3,0.672100008
21146.1,0.674799979
21786.9,0.677600026
22427.7,0.680299997
23068.4,0.682699978
23709.2,0.685299993
24350.0,0.687600017
24990.8,0.689700007
25631.6,0.693599999
26272.4,0.694999993
26913.2,0.6972
27554.0,0.699500024
28194.7,0.701799989
28835.5,0.70480001
29476.3,0.706499994
30117.1,0.708000004
30757.9,0.710600019
31398.7,0.712400019
32039.5,0.713999987
32680.3,0.715399981
33321.1,0.716799974
33961.9,0.719600022
34602.7,0.720499992
35243.5,0.720200002
35884.3,0.721700013
36525.0,0.722800016
37165.8,0.724099994
37807.1,0.723999977
38447.6,0.725099981
39088.4,0.726300001
39729.2,0.726999998
40370.0,0.729600012
41010.8,0.731599987
41651.6,0.733099997
42292.4,0.734399974
42933.1,0.736000001
43573.9,0.736999989
44214.7,0.738399982
44855.5,0.738799989
45496.3,0.739499986
46137.1,0.74059999
46777.9,0.740999997
47418.7,0.742399991
48059.5,0.743600011
48700.3,0.745100021
49341.1,0.745700002
49981.9,0.747099996
50622.7,0.748600006
51263.5,0.749899983
51904.2,0.751800001
52545.0,0.752900004
53185.8,0.753899992
53826.6,0.755400002
54467.4,0.756900012
55108.2,0.758000016
55749.0,0.759500027
56389.8,0.760200024
57030.6,0.761300027
